id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
4645,I saw a cow walking in a tree,I saw a bird's nest in a tree,Cows cannot climb trees,A cow cannot climb a trea.,Cows don't walk in trees,Cows can provide milk for human,Cows cannot climb trees,Cows can consume tree leaves,1
4646,The professor write on the beach with his pen,The professor write on the beach with a tree branch,Sand will damage a pen if the pen is used to write on beach,You do not write on the beach.,Pen does not used to write in the beach by the professor.,Pen can be used for writing,Sand will damage a pen if the pen is used to write on beach,Professors usually know how to write in multiple languages,1
4647,Our sniper terminated an enemy from eight hundred miles away,Our sniper terminated an enemy from one mile away,A sniper rifle cannot shoot that far,Eight hundred miles is too far for even the most talented sniper.,snipers can't shoots from 800 miles away,The enemy is a Japanese soldier,Our sniper is a member of communist party,A sniper rifle cannot shoot that far,2
4648,We should open the window if there's going to be a storm,We should close the window if there's going to be a storm,An opening window during a storm will make the room a mess,Windows should be closed during storms.,the rain will come inside if the window is open,An opening window will bring us some fresh air,An opening window during a storm will make the room a mess,Windows are fragile,1
4649,One should participate in more parties in order to get good grades,One should practice more in order to get good grades,"No one studies in parties, but good grades comes from lots of study time",Parties do not help get good grades.,Going out to parties will probably hurt your grades.,"No one studies in parties, but good grades comes from lots of study time",People usually drink during the parties,Sometimes there will be drug abuse in the parties,0
4650,"It's too hot outside, so we smashed our air conditioner","It's too hot outside, so we turned on our air conditioner","Air conditioner can be used to cool the room, we should not break it",In order to beat the hot air conditioner should be on not to be smashed.,Smashed air conditioner will not work anymore.,Air conditioner can be used to warm the room,"Air conditioner can be used to cool the room, we should not break it",Apple don't have air conditioner product,1
4651,Modern people spend more and more time watching a brick,Modern people spend more and more time in watching their cell phone,It's neither interesting nor useful to watch brick,Bricks are not very interesting so not many modern people watch them.,a brick is not meant for watching over and over,Brick can be used to construct buildings,It's neither interesting nor useful to watch brick,"If one don't study well, he will have to carry bricks as his job",1
4652,The organizer prepared pesticides for the athletes,The organizer prepared energy drinks for the athletes,Athletes don't need pesticides during their match,An organizer would not offer harmful pesticides to athletes to as refreshments.,Pesticides would poison the athletes.,Pesticides can be used to kill insects,Pesticides is usually sealed in metal bottles,Athletes don't need pesticides during their match,2
4653,"Comrades, said the commander, we are going to have an eight-year warfare","Comrades, said the commander, the war has begun",The commander will not know how long will the war last before it ends,No one knows how long a war will last.,It's impossible to predict how long a war will last,The commander will not know how long will the war last before it ends,The commander is a soldier,The commander have participated a warfare before,0
4654,He was expelled from school because he drunk lots of water,He was expelled from school because he cheated in the exam,Drinking water don't break any school rules,Drinking water is not against the rules.,Drinking water is not against school rules,Drinking water don't break any school rules,Cheating in the exam break school rules,Water is not poisonous,0
4655,The subway was too crowded to enter in the midnight,The subway was too crowded to enter in the morning,There are very few people take subway at midnight,Subways are not frequently used late at night.,Subways are closed at midnight,There are very few people take subway at midnight,Subway is a convenient way to travel to another place in the city,Some cities require security check when entering subway,0
4656,She added extra pepper in her bubble tea,She added extra sugar in her bubble tea,People don't like pepper in their milk tea,Pepper does not sweeten tea.,Pepper is not typically an ingredient in bubble tea,Bubble tea is popular in east Asia,People don't like pepper in their milk tea,Bubble tea is usually not expensive,1
4657,The player was criticized by people since he scored in the last minute,That player was respected by people since he scored in the last minute,Scoring in the last minute is a good thing,The player scoring at the last minute is a good thing and he would not be criticized for it.,People don't criticize the player who scored in the last minute.,The player is a football player,Some people will never be satisfied with others' performance,Scoring in the last minute is a good thing,2
4658,The train hits the moon on the railway,The train hits a cow on the railway,There is no moon in the railway,"The moon is in space orbiting around our planet, not on a railway on the Earth.",Railways do not go to the moon,People have landed on the moon before,There is no moon in the railway,There is no cow in the moon,1
4659,Nazi is a bless for Jewish people,Nazi is a disaster for Jewish people,Nazi killed lots of Jewish people in the World War 2,Nazi policy is based on hating Jewish people,Jewish people don't feel blessed by the Nazi party,Nazi is from Germany,Germany is well known for their machinery,Nazi killed lots of Jewish people in the World War 2,2
